SourceFile,Label,Probability
38196.mp3,A capella,0.7772
229343.mp3,A capella,0.744
177602.mp3,A capella,0.6316
310984.mp3,A capella,0.525
234098.mp3,A capella,0.4419
175509.mp3,A capella,0.3019
105800.mp3,A capella,0.2682
243321.mp3,A capella,0.2623
234100.mp3,A capella,0.2577
24750.mp3,A capella,0.2447
134852.mp3,A capella,0.2154
185378.mp3,A capella,0.2104
53111.mp3,A capella,0.1983
286929.mp3,A capella,0.1973
92526.mp3,A capella,0.1874
14914.mp3,A capella,0.1789
55922.mp3,A capella,0.1785
40381.mp3,A capella,0.1708
42774.mp3,A capella,0.1667
284481.mp3,A capella,0.1592
299225.mp3,A capella,0.1499
219999.mp3,A capella,0.1486
124857.mp3,A capella,0.1457
292137.mp3,A capella,0.1451
245412.mp3,A capella,0.1447
185386.mp3,A capella,0.1428
180538.mp3,A capella,0.1409
262030.mp3,A capella,0.1408
100017.mp3,A capella,0.1357
2125.mp3,A capella,0.1303
24756.mp3,A capella,0.1281
137819.mp3,A capella,0.1269
192602.mp3,A capella,0.1224
292141.mp3,A capella,0.1209
192601.mp3,A capella,0.12
180540.mp3,A capella,0.1198
248268.mp3,A capella,0.1188
69031.mp3,A capella,0.1175
31253.mp3,A capella,0.1141
234102.mp3,A capella,0.1128
150934.mp3,A capella,0.1095
299228.mp3,A capella,0.109
133803.mp3,A capella,0.1082
248260.mp3,A capella,0.1063
318118.mp3,A capella,0.1048
218251.mp3,A capella,0.1016
69041.mp3,A capella,0.1009
124834.mp3,A capella,0.0998
273091.mp3,A capella,0.0957
100096.mp3,A capella,0.0944
111544.mp3,A capella,0.0928
106743.mp3,A capella,0.0916
69016.mp3,A capella,0.0888
40387.mp3,A capella,0.0841
86117.mp3,A capella,0.084
69035.mp3,A capella,0.0834
292140.mp3,A capella,0.0827
151425.mp3,A capella,0.0824
134838.mp3,A capella,0.0817
273084.mp3,A capella,0.0796
48491.mp3,A capella,0.079
3754.mp3,A capella,0.0786
217229.mp3,A capella,0.077
286931.mp3,A capella,0.0765
230394.mp3,A capella,0.0765
275492.mp3,A capella,0.0762
105539.mp3,A capella,0.0756
28506.mp3,A capella,0.0754
133804.mp3,A capella,0.0726
39973.mp3,A capella,0.072
69033.mp3,A capella,0.0705
321367.mp3,A capella,0.0702
44100.mp3,A capella,0.0699
281278.mp3,A capella,0.069
190126.mp3,A capella,0.0688
69039.mp3,A capella,0.068
226183.mp3,A capella,0.0676
175368.mp3,A capella,0.066
123352.mp3,A capella,0.0652
40388.mp3,A capella,0.0627
81795.mp3,A capella,0.0618
100011.mp3,A capella,0.0614
111606.mp3,A capella,0.0614
238378.mp3,A capella,0.0604
291027.mp3,A capella,0.0593
327911.mp3,A capella,0.0583
23025.mp3,A capella,0.0551
166426.mp3,A capella,0.0551
21284.mp3,A capella,0.0539
332639.mp3,A capella,0.0539
123362.mp3,A capella,0.0529
184580.mp3,A capella,0.0524
262796.mp3,A capella,0.0515
181843.mp3,A capella,0.0505
184577.mp3,A capella,0.0501
142218.mp3,A capella,0.0458
234096.mp3,A capella,0.0454
230399.mp3,A capella,0.0449
273094.mp3,A capella,0.0447
2538.mp3,A capella,0.0432
190132.mp3,A capella,0.042
191606.mp3,A capella,0.0394
111541.mp3,A capella,0.0384
237674.mp3,A capella,0.0383
39967.mp3,A capella,0.0378
123353.mp3,A capella,0.0371
230871.mp3,A capella,0.0369
240691.mp3,A capella,0.0366
55924.mp3,A capella,0.0359
280030.mp3,A capella,0.0347
166952.mp3,A capella,0.0341
112123.mp3,A capella,0.032
111598.mp3,A capella,0.0319
275520.mp3,A capella,0.0204
231438.mp3,A capella,0.0122
10412.mp3,"Accelerating, revving, vroom",0.3353
65088.mp3,"Accelerating, revving, vroom",0.3256
182533.mp3,"Accelerating, revving, vroom",0.298
68238.mp3,"Accelerating, revving, vroom",0.2464
223275.mp3,"Accelerating, revving, vroom",0.2349
193388.mp3,"Accelerating, revving, vroom",0.2176
135007.mp3,"Accelerating, revving, vroom",0.208
272825.mp3,"Accelerating, revving, vroom",0.2063
280614.mp3,"Accelerating, revving, vroom",0.1956
156834.mp3,"Accelerating, revving, vroom",0.1922
183426.mp3,"Accelerating, revving, vroom",0.1844
306836.mp3,"Accelerating, revving, vroom",0.1689
168719.mp3,"Accelerating, revving, vroom",0.156
41836.mp3,"Accelerating, revving, vroom",0.1535
273491.mp3,"Accelerating, revving, vroom",0.1528
139238.mp3,"Accelerating, revving, vroom",0.149
188618.mp3,"Accelerating, revving, vroom",0.1461
321178.mp3,"Accelerating, revving, vroom",0.1433
159819.mp3,"Accelerating, revving, vroom",0.143
167423.mp3,"Accelerating, revving, vroom",0.1424
134387.mp3,"Accelerating, revving, vroom",0.1415
283091.mp3,"Accelerating, revving, vroom",0.1394
228976.mp3,"Accelerating, revving, vroom",0.1354
