Label,OriginalCount,SampledCount
Vehicle,23643,200
Speech,22535,200
"Outside, urban or manmade",15173,200
Animal,14015,200
Music,12733,200
Car,11621,200
"Outside, rural or natural",10865,200
Train,7999,200
Bird,5475,200
"Boat, Water vehicle",5358,200
Rail transport,4848,200
"Traffic noise, roadway noise",4456,200
"Railroad car, train wagon",4232,200
Field recording,4093,200
Bus,3875,200
Motor vehicle (road),3616,200
Clip-clop,3513,200
Horse,3499,200
Ship,3270,200
"Inside, small room",3186,200
Aircraft,3153,200
Wind,3041,200
Environmental noise,3010,200
"Bird vocalization, bird call, bird song",2733,200
Insect,2709,200
"Inside, public space",2684,200
"Hubbub, speech noise, speech babble",2631,200
"Inside, large room or hall",2549,200
"Chirp, tweet",2169,200
"Fixed-wing aircraft, airplane",2169,200
Musical instrument,2030,200
Truck,2023,200
"Waves, surf",1942,200
"Subway, metro, underground",1878,200
"Domestic animals, pets",1846,200
Cricket,1838,200
Stream,1832,200
Wind noise (microphone),1819,200
Ocean,1794,200
White noise,1716,200
Run,1714,200
Rain,1683,200
Crowd,1659,200
Pink noise,1506,200
Chatter,1438,200
Mouse,1398,200
Waterfall,1342,200
Engine,1292,200
Sliding door,1264,200
Water,1244,200
Rain on surface,1235,200
"Walk, footsteps",1216,200
Raindrop,1208,200
Fire,1202,200
"Male speech, man speaking",1188,200
Silence,1176,200
Door,1031,200
Rustle,993,200
"Trickle, dribble",902,200
Air brake,847,200
Clickety-clack,805,200
Fowl,796,200
Bicycle,780,200
"Sailboat, sailing ship",732,200
Snake,722,200
Arrow,704,200
Owl,699,200
Train wheels squealing,659,200
Children playing,653,200
Frog,653,200
Pour,649,200
Motorcycle,638,200
"Female speech, woman speaking",638,200
Singing,628,200
Rumble,605,200
Thunder,603,200
"Child speech, kid speaking",597,200
"Chink, clink",592,200
Liquid,588,200
"Rowboat, canoe, kayak",584,200
"Accelerating, revving, vroom",584,200
"Bee, wasp, etc.",583,200
"Pigeon, dove",582,200
Dog,576,200
"Narration, monologue",574,200
"Thump, thud",574,200
Gurgling,561,200
Cupboard open or close,556,200
Duck,549,200
Basketball bounce,533,200
Thunderstorm,520,200
Car passing by,496,200
Coo,490,200
Idling,482,200
Hiss,481,200
Percussion,469,200
Bell,446,200
"Motorboat, speedboat",443,200
Conversation,410,200
Train horn,396,200
Church bell,393,200
Slam,393,200
Crow,382,200
Siren,381,200
Turkey,372,200
Drum,372,200
Guitar,369,200
Patter,367,200
"Fly, housefly",365,200
Rustling leaves,352,200
Bow-wow,343,200
Microwave oven,342,200
"Rodents, rats, mice",335,200
Ping,332,200
Mechanical fan,331,200
"Dishes, pots, and pans",326,200
Change ringing (campanology),321,200
Tubular bells,314,200
Plucked string instrument,313,200
Steam,311,200
Medium engine (mid frequency),308,200
"Race car, auto racing",304,200
Glass,302,200
"Livestock, farm animals, working animals",296,200
Orchestra,294,200
Buzz,294,200
Choir,293,200
Air conditioning,289,200
Drawer open or close,288,200
Mechanisms,282,200
Tap,277,200
Aircraft engine,276,200
Television,273,200
Timpani,269,200
Tick-tock,269,200
Quack,269,200
Fireworks,269,200
Drip,249,200
Caw,246,200
Squish,244,200
Spray,242,200
Tick,242,200
Cat,239,200
Emergency vehicle,238,200
Eruption,238,200
Singing bowl,231,200
"Propeller, airscrew",229,200
"Neigh, whinny",225,200
Gush,224,200
Wood block,222,200
Gobble,220,200
Firecracker,218,200
Goose,215,200
Gong,215,200
Scary music,214,200
Classical music,213,200
Noise,212,200
"Cutlery, silverware",209,200
Drum kit,207,200
"Chicken, rooster",205,200
Whale vocalization,205,200
Chant,205,200
Reversing beeps,202,200
Honk,201,200
"Water tap, faucet",200,200
Croak,197,197
"Bird flight, flapping wings",191,191
Toot,191,191
Snort,189,189
Shuffle,187,187
Fill (with liquid),185,185
Ambient music,182,182
"Vehicle horn, car horn, honking",181,181
Cheering,179,179
Crackle,170,170
Chop,169,169
Heavy engine (low frequency),162,162
Explosion,160,160
Slosh,159,159
Sonar,154,154
Toilet flush,151,151
Brass instrument,148,148
Hammer,148,148
Hum,148,148
Police car (siren),148,148
Keys jangling,147,147
Sizzle,146,146
Civil defense siren,145,145
"Ratchet, pawl",145,145
"Violin, fiddle",142,142
Squawk,142,142
Clock,132,132
Train whistle,131,131
Chime,128,128
Yip,128,128
"Ice cream truck, ice cream van",127,127
Mantra,127,127
Goat,126,126
Bass drum,125,125
Wild animals,124,124
Bowed string instrument,124,124
Sewing machine,123,123
Engine knocking,120,120
Applause,118,118
Electronic music,118,118
Sheep,118,118
Meow,118,118
Static,117,117
Hoot,117,117
Squeal,117,117
"Fire engine, fire truck (siren)",117,117
Thunk,116,116
"Wind instrument, woodwind instrument",116,116
A capella,115,115
Bathtub (filling or washing),115,115
Chopping (food),114,114
Tambourine,114,114
Helicopter,113,113
Pump (liquid),112,112
Whir,111,111
Skateboard,111,111
Vibration,110,110
Wood,110,110
Ambulance (siren),109,109
"Chuckle, chortle",108,108
Vocal music,107,107
Rub,107,107
Whimper (dog),106,106
Cluck,106,106
Frying (food),106,106
Sink (filling or washing),104,104
"Marimba, xylophone",104,104
Gears,103,103
Wind chime,103,103
Whip,102,102
Bark,102,102
Traditional music,100,100
Jingle bell,100,100
Male singing,98,98
Clapping,96,96
Writing,95,95
Jet engine,94,94
Gospel music,94,94
"Gunshot, gunfire",93,93
Tools,90,90
Lawn mower,90,90
Female singing,90,90
Snare drum,90,90
Keyboard (musical),88,88
Stir,88,88
Children shouting,86,86
Piano,86,86
Mallet percussion,83,83
Typewriter,82,82
Biting,81,81
"Burst, pop",80,80
Bouncing,79,79
"Whoosh, swoosh, swish",79,79
"Power windows, electric windows",78,78
Boiling,77,77
Battle cry,77,77
Acoustic guitar,77,77
Strum,77,77
Rattle,76,76
Glockenspiel,76,76
Artillery fire,75,75
Buzzer,74,74
Alarm,74,74
Music of Latin America,73,73
Christian music,72,72
Sound effect,71,71
Engine starting,71,71
Trombone,70,70
"Splash, splatter",69,69
Drum roll,69,69
Bleat,69,69
Trumpet,69,69
Opera,68,68
Mosquito,67,67
Synthesizer,67,67
Car alarm,66,66
Scissors,66,66
Telephone,65,65
Whistle,65,65
Organ,65,65
Laughter,65,65
Printer,64,64
"Chewing, mastication",61,61
Jazz,60,60
Radio,60,60
Machine gun,59,59
"Canidae, dogs, wolves",59,59
Creak,59,59
Mains hum,58,58
"Crowing, cock-a-doodle-doo",57,57
"Beep, bleep",56,56
Soundtrack music,56,56
Electric guitar,56,56
Pizzicato,55,55
Clatter,55,55
Rock and roll,54,54
Bagpipes,53,53
